T(K),a,da/dT
604.15,0.58400823,0.00187595
605.4,0.58601724,0.00180522
605.9,0.58668247,0.00174499
606.9,0.58817919,0.00168481
607.4,0.58888821,0.00162751
608.65,0.59064287,0.00157266
609.4,0.59162631,0.00152673
610.15,0.59261738,0.00148013
611.15,0.59390868,0.00143767
611.65,0.59456118,0.00140574
612.65,0.59577609,0.00137485
613.4,0.59671036,0.00134830
614.4,0.59782471,0.00132391
615.15,0.59877747,0.00130787
615.9,0.59964765,0.00129834
616.9,0.60075627,0.00128654
617.65,0.60166572,0.00127894
618.4,0.60252999,0.00128122
619.15,0.60339808,0.00127728
620.4,0.60481235,0.00127432
620.9,0.60545480,0.00127318
621.65,0.60630840,0.00127196
622.9,0.60780220,0.00127062
623.65,0.60883853,0.00126929
624.4,0.60980011,0.00126649
625.4,0.61107072,0.00126524
626.4,0.61241298,0.00125855
626.9,0.61312029,0.00125910
627.65,0.61414540,0.00125075
628.65,0.61552558,0.00124423
629.65,0.61691242,0.00123776
630.4,0.61795991,0.00122598
631.4,0.61934219,0.00121338
632.15,0.62034148,0.00119989
632.9,0.62136953,0.00118689
633.65,0.62232626,0.00116565
634.65,0.62360894,0.00114895
635.4,0.62454843,0.00112981
636.15,0.62546645,0.00110320
637.4,0.62693943,0.00107999
637.9,0.62746540,0.00105704
638.9,0.62859565,0.00103181
639.9,0.62962392,0.00100458
640.65,0.63035220,0.00097980
641.4,0.63104290,0.00095658
642.15,0.63169623,0.00093189
643.15,0.63248300,0.00091158
643.9,0.63305776,0.00089243
644.65,0.63362359,0.00087844
645.9,0.63445978,0.00086365
646.4,0.63478662,0.00085575
647.4,0.63542674,0.00085108
647.9,0.63573171,0.00084687
649.15,0.63649310,0.00084828
649.9,0.63694685,0.00084933
650.65,0.63740475,0.00085784
651.65,0.63802983,0.00086522
652.4,0.63851591,0.00088001
653.15,0.63904603,0.00089477
654.15,0.63971694,0.00091236
654.9,0.64032277,0.00093243
655.65,0.64094286,0.00095503
656.4,0.64163785,0.00098048
657.65,0.64281501,0.00100519
658.4,0.64359997,0.00103356
659.15,0.64446046,0.00106199
660.15,0.64559093,0.00109028
660.9,0.64653971,0.00112000
661.65,0.64744634,0.00114813
662.65,0.64874501,0.00117532
663.65,0.65008935,0.00120110
664.15,0.65081796,0.00122516
664.9,0.65186714,0.00124529
666.15,0.65365593,0.00126246
666.65,0.65438259,0.00127949
667.65,0.65582470,0.00128569
668.65,0.65732900,0.00129623
669.4,0.65843228,0.00130053
670.15,0.65955116,0.00129767
670.9,0.66065960,0.00129341
