T(K),a,da/dT
602.9,0.574329489,0.003682724
603.9,0.578277966,0.003409299
604.65,0.580350396,0.003091776
605.4,0.582284994,0.002829875
606.4,0.584984775,0.002546679
607.15,0.586702473,0.002306953
607.9,0.588297432,0.002160233
609.15,0.59078363,0.001980305
609.9,0.592153555,0.001840664
610.65,0.593473139,0.001792729
611.4,0.594779713,0.001730476
612.4,0.596518329,0.001668379
613.15,0.59780863,0.001677232
613.9,0.599103591,0.001681917
614.9,0.600816542,0.001697524
615.65,0.602098337,0.001715413
616.4,0.603376925,0.001736903
617.15,0.604659832,0.00171511
618.15,0.606364136,0.001685005
618.9,0.607646978,0.001698916
619.65,0.608927949,0.001742325
620.9,0.611057183,0.001686099
621.65,0.612309075,0.00170439
622.4,0.613569431,0.00168743
623.15,0.614832946,0.001661158
624.15,0.616464203,0.001649697
624.9,0.617704754,0.001633295
625.65,0.618917417,0.001619886
626.65,0.620508883,0.001608055
627.4,0.621714062,0.001594296
628.15,0.622899125,0.001581106
628.9,0.624076422,0.001567086
629.9,0.625620782,0.00155497
630.9,0.627181131,0.001543158
631.4,0.627936734,0.001536109
632.65,0.6298511,0.001526299
633.4,0.631006271,0.001519813
634.15,0.632134002,0.001517116
635.15,0.633649508,0.001511577
635.9,0.634784179,0.001509886
636.65,0.635918072,0.001507729
637.4,0.637044181,0.00150936
638.65,0.638943159,0.001513046
639.4,0.640086437,0.001513581
639.9,0.640832938,0.001518916
641.15,0.642741436,0.001524006
641.9,0.643893032,0.001526944
642.65,0.645028911,0.001531283
643.15,0.64579552,0.001534106
644.65,0.648117466,0.001533549
645.15,0.648877126,0.001532307
646.15,0.650412032,0.001528726
647.15,0.651939401,0.001522696
647.9,0.653092905,0.001512362
648.65,0.654189015,0.001500705
649.4,0.655324901,0.00148449
650.4,0.656816747,0.001466526
651.15,0.657866542,0.001447536
652.15,0.659314995,0.001425964
653.15,0.66069564,0.001405089
653.9,0.661748832,0.001383796
654.65,0.662767425,0.00136337
655.65,0.664088366,0.001343245
656.4,0.665110688,0.001326747
657.15,0.666076285,0.001311221
657.9,0.667049262,0.001297735
658.9,0.668337239,0.001287562
659.65,0.669297876,0.001279307
660.4,0.670248916,0.001272655
661.65,0.671838769,0.00126791
662.4,0.672793867,0.001266208
663.15,0.673742286,0.00126261
664.15,0.674999991,0.001262352
664.9,0.675946341,0.001261659
665.65,0.676897905,0.001263472
666.4,0.677844648,0.001262819
667.4,0.679102694,0.00126526
668.4,0.680372484,0.00126989
668.9,0.681011188,0.001268125
670.15,0.682590362,0.00127037
670.9,0.683542408,0.001271338
671.65,0.684495024,0.001271721
672.65,0.68577281,0.001271125
673.4,0.686709836,0.001268204
674.15,0.687676923,0.001268244
674.9,0.688625868,0.001264768
676.15,0.690190046,0.001261202
676.9,0.691140598,0.001255646
677.4,0.691765018,0.001248671
678.65,0.69331627,0.001240888
679.4,0.694227185,0.001233087
680.15,0.695155075,0.001222117
680.9,0.696051967,0.00121204
681.9,0.697251473,0.001200394
682.65,0.698152869,0.001185633
683.4,0.699034095,0.00117309
684.65,0.70048226,0.001158651
685.15,0.701043027,0.001142034
685.9,0.701902752,0.001126161
687.15,0.703315224,0.001111478
687.9,0.704118504,0.00109675
688.65,0.704931849,0.00108273
689.4,0.705735771,0.001069281
690.4,0.706793467,0.001057304
691.15,0.707576658,0.001045075
691.9,0.708351799,0.001030571
692.9,0.70936081,0.001025535
693.65,0.71011901,0.001014824
694.4,0.710885501,0.001009118
695.4,0.711897001,0.001003335
696.4,0.712873663,0.000997264
696.9,0.713383658,0.000993273
697.65,0.714124775,0.000988276
698.65,0.715093905,0.000985134
699.4,0.715851978,0.000981543
700.4,0.716815984,0.000979524
701.4,0.717775399,0.00097776
702.15,0.718508555,0.000976235
702.65,0.718996152,0.000972448
703.4,0.719725278,0.00096978
704.4,0.720691909,0.000966878
705.15,0.721411345,0.000960533
705.9,0.722124587,0.000953108
706.9,0.723063583,0.000943862
707.65,0.723731169,0.000932953
708.15,0.724239392,0.000919871
709.4,0.72530964,0.000905609
709.9,0.725772437,0.00088877
710.65,0.726420666,0.000871692
711.9,0.72747502,0.000855197
712.4,0.727904022,0.000839459
713.4,0.72868766,0.000822608
714.15,0.729311529,0.000810551
715.15,0.730090627,0.00079819
715.9,0.730677791,0.000786854
716.65,0.731262244,0.000782323
717.65,0.732039517,0.000778389
718.4,0.732622298,0.000775522
719.15,0.733205807,0.00077432
720.15,0.733982157,0.000774339
720.9,0.734571617,0.000776188
721.65,0.735158884,0.000778337
722.15,0.735550752,0.000780461
723.4,0.736530583,0.000782196
724.15,0.737112685,0.000783782
724.9,0.737698772,0.000780051
725.9,0.73847938,0.000784842
726.65,0.739073554,0.00078322
727.4,0.739661169,0.000786172
728.65,0.740644534,0.000788444
729.4,0.741238016,0.000790907
730.15,0.741834802,0.000796489
730.65,0.742222505,0.000800098
731.9,0.743231103,0.000806597
732.65,0.74385409,0.000812942
733.4,0.744469201,0.00081906
734.4,0.745295117,0.000825187
735.9,0.746534781,0.000830475
736.9,0.7473743,0.0008368
737.65,0.748014655,0.000842523
738.4,0.748648148,0.000845824
739.15,0.749283104,0.000848936
740.15,0.750131641,0.000851333
740.9,0.750773395,0.00085314
741.65,0.751407875,0.000854171
742.65,0.752262506,0.00085554
743.65,0.753115138,0.000854169
744.15,0.753541843,0.000852431
745.65,0.7548191,0.000850869
746.15,0.755244249,0.000850046
746.9,0.755880725,0.00084708
747.9,0.756731383,0.000843758
748.65,0.757356231,0.000841998
749.4,0.757990869,0.000835547
750.4,0.758813094,0.000831239
751.4,0.759636473,0.000826347
752.15,0.760249753,0.000819813
752.65,0.760667178,0.000814888
753.9,0.761677919,0.000809452
754.65,0.76226775,0.00080074
755.4,0.762865193,0.000797507
756.4,0.763656752,0.000791389
757.15,0.764247143,0.000786512
757.9,0.764835231,0.000781947
759.15,0.765825238,0.000778403
759.65,0.766200473,0.000775095
760.4,0.766782514,0.000771083
761.15,0.767362273,0.00076903
762.4,0.768337644,0.000765641
763.15,0.768893573,0.000762662
763.65,0.769272417,0.000758496
764.65,0.770039958,0.000754135
765.65,0.770768632,0.000747743
766.15,0.771151633,0.000740999
767.4,0.772049015,0.000733345
768.15,0.772588562,0.000723574
768.65,0.772957607,0.000713406
770.15,0.77400846,0.000701823
770.65,0.774339699,0.000691241
771.4,0.774883515,0.000680205
772.15,0.775361164,0.00066806
773.4,0.776189501,0.000656739
774.15,0.776671095,0.000646027
774.9,0.777146866,0.000636211
775.9,0.777772932,0.000627548
776.9,0.778379963,0.000621321
777.4,0.778696467,0.000613971
778.65,0.779443304,0.000608328
779.4,0.779903979,0.000603468
779.9,0.780202467,0.000600678
781.15,0.780953754,0.000595553
781.9,0.781387497,0.000591533
782.4,0.781689787,0.000588899
783.15,0.782122035,0.000583799
784.4,0.782850053,0.000581192
784.9,0.783143376,0.000577373
785.9,0.783715842,0.000572623
786.9,0.784282736,0.000569981
787.65,0.784704295,0.000566578
788.4,0.785122142,0.00056056
789.4,0.785677063,0.000558635
789.9,0.785952755,0.000553562
790.9,0.786502363,0.000549447
791.9,0.787049937,0.00054607
792.65,0.787458861,0.000542684
793.4,0.787865503,0.000536518
794.4,0.78840278,0.00053322
795.15,0.788801177,0.000528856
795.9,0.789195248,0.000523748
796.65,0.789578012,0.000520231
797.9,0.790227849,0.000517557
798.4,0.790483053,0.000512437
799.4,0.790985612,0.000511125
800.4,0.791494507,0.000509003
801.15,0.791880758,0.00050297
801.9,0.792258579,0.000507978
802.9,0.792771288,0.000513939
803.65,0.793154656,0.000511021
804.4,0.793540585,0.00051429
805.4,0.794057057,0.000520402
806.15,0.79445441,0.000521294
806.9,0.794856114,0.000534856
808.15,0.795556608,0.000546444
808.9,0.795971459,0.000562141
809.4,0.796245742,0.000574036
810.65,0.797031959,0.000590266
811.15,0.797319455,0.000608259
811.9,0.797793111,0.000626182
812.9,0.798444605,0.000647013
813.65,0.798948231,0.000667605
814.65,0.79960671,0.000691084
815.4,0.800173725,0.000715749
816.4,0.80086931,0.000738244
817.15,0.801431743,0.000760987
817.65,0.801888463,0.000782299
818.9,0.80286783,0.000801188
819.65,0.803394921,0.000818989
820.4,0.804045531,0.000833681
821.4,0.804876504,0.000846227
822.15,0.805472837,0.000856937
822.9,0.8062184,0.000865185
823.9,0.807077075,0.000872666
824.65,0.807757523,0.000878031
825.4,0.808380231,0.000883842
826.15,0.809065517,0.00088902
827.15,0.809946594,0.000890017
828.15,0.810810942,0.000896657
828.9,0.811483512,0.000900511
829.9,0.812365064,0.000900801
830.65,0.813067719,0.000907529
831.4,0.813752207,0.000911741
832.4,0.814652771,0.000909821
833.15,0.815357162,0.000913371
833.9,0.816046791,0.000916203
835.15,0.817187489,0.00091391
835.65,0.817655748,0.000920718
836.15,0.81810896,0.000928508
837.4,0.819261011,0.00092627
838.15,0.819953862,0.000924786
838.9,0.820645635,0.000928525
839.9,0.821577823,0.00092116
840.65,0.822269597,0.000928428
841.4,0.822970032,0.000931189
842.15,0.823672534,0.000935184
843.15,0.824594141,0.000934289
843.9,0.825316168,0.000939908
844.65,0.826021404,0.000942806
845.9,0.827147623,0.000943446
846.65,0.827901907,0.000943829
847.4,0.828576587,0.000940448
848.4,0.829478376,0.000938156
849.15,0.830201915,0.000932583
849.65,0.830692648,0.000922833
850.9,0.831794586,0.000912284
851.65,0.83246166,0.000898385
852.4,0.833148675,0.000882084
853.4,0.833972457,0.000864828
854.15,0.834568264,0.000845289
854.9,0.83524152,0.000823541
855.9,0.836007542,0.000802003
856.4,0.836423759,0.000781185
857.4,0.837180987,0.000760929
858.4,0.83789097,0.000741708
859.15,0.838429357,0.000724617
859.9,0.838977454,0.000709072
860.9,0.839648025,0.000694359
861.65,0.840157844,0.000683652
862.4,0.840662576,0.000674996
863.4,0.841329568,0.000663616
864.15,0.841830715,0.000660247
864.9,0.84232165,0.000654086
865.65,0.842809755,0.000645913
866.65,0.843456868,0.000641135
867.4,0.843938871,0.000641378
867.9,0.84426275,0.000638771
869.15,0.845053685,0.000636748
870.15,0.845690896,0.000638676
870.65,0.845997211,0.000637293
871.65,0.846633792,0.0006323
872.4,0.847112591,0.000634163
873.15,0.847581893,0.000631056
874.15,0.848222838,0.000633386
874.9,0.848702322,0.000635507
875.65,0.849178509,0.00063569
876.65,0.849823644,0.000636942
878.15,0.85078543,0.000641149
879.4,0.851593085,0.000643296
879.9,0.851909833,0.000645813
880.65,0.852394078,0.000648097
881.9,0.853205752,0.000649935
882.4,0.853527662,0.000651498
883.15,0.854019111,0.000653363
884.15,0.85467992,0.000654101
885.15,0.85533765,0.000654311
885.65,0.855666428,0.000654088
886.9,0.856487155,0.000654379
887.4,0.856814088,0.000654141
888.4,0.857468069,0.000654345
889.15,0.857957139,0.000652289
889.9,0.858444485,0.000653197
890.65,0.858930219,0.00064923
891.65,0.859575519,0.000647056
892.4,0.860054353,0.000646723
893.15,0.86053966,0.000642215
894.15,0.86118595,0.000642432
894.9,0.861666425,0.000639294
895.4,0.861986197,0.000637207
896.65,0.862782706,0.000634687
897.4,0.863257692,0.000634963
898.15,0.863729889,0.000633999
898.65,0.864049644,0.000631827
899.9,0.864821494,0.000628475
900.65,0.865286006,0.000622653
901.15,0.865594715,0.000618056
902.4,0.866362796,0.000613065
903.15,0.866820708,0.000606116
904.15,0.867426455,0.000600556
904.9,0.867876299,0.000593306
905.9,0.868483298,0.000585298
906.4,0.868746522,0.000577703
907.65,0.869498781,0.000569806
908.15,0.869782427,0.000561083
908.9,0.870164604,0.000551674
909.9,0.870748133,0.000541056
910.65,0.871107338,0.00052994
911.4,0.871497343,0.000517924
912.65,0.872128639,0.000505079
913.4,0.872536455,0.000491721
914.15,0.872894155,0.000478072
915.15,0.873356389,0.000463986
915.65,0.873581239,0.000450852
916.4,0.87389448,0.000438598
917.4,0.874337504,0.000426621
918.15,0.874648773,0.000415522
918.9,0.874942756,0.000407709
920.15,0.875462678,0.000401173
920.65,0.875652176,0.000398077
921.4,0.875943283,0.000396311
922.4,0.876347979,0.000397282
923.15,0.876649768,0.000402813
923.9,0.87695299,0.00040457
924.9,0.877368514,0.000412683
925.65,0.877687353,0.000422015
926.15,0.877902935,0.000427124
927.15,0.878338328,0.000438599
927.9,0.878671838,0.000442352
928.65,0.879009096,0.000446845
929.65,0.879462301,0.000448783
930.4,0.879803031,0.000453172
931.15,0.880151048,0.000456174
932.15,0.880594962,0.000456027
932.9,0.880931773,0.000456958
933.65,0.881267241,0.000456248
934.65,0.881736228,0.000454208
935.4,0.882072216,0.000453748
936.15,0.882420176,0.000453029
937.15,0.88285918,0.000451523
937.9,0.88319863,0.000452098
938.65,0.88353938,0.000451867
939.65,0.883985741,0.000451146
940.4,0.884339283,0.000454048
941.15,0.884684377,0.000457917
942.15,0.885137792,0.000462364
942.9,0.885498582,0.000469382
943.4,0.885723595,0.000477
944.65,0.886334508,0.000484136
945.15,0.886579086,0.000492721
947.15,0.887591185,0.000502798
947.65,0.887853572,0.000514631
948.4,0.888236441,0.000527637
949.4,0.888805006,0.000542524
950.15,0.889229861,0.000559668
950.9,0.889643845,0.000575868
951.9,0.890263529,0.000594026
952.65,0.890725614,0.000614426
953.4,0.891176187,0.000632024
954.4,0.891852316,0.000653586
955.15,0.892333142,0.000670763
955.9,0.892827653,0.000688508
956.9,0.893559492,0.000704146
957.65,0.894102705,0.000716799
958.4,0.894653914,0.000728395
959.15,0.895226152,0.000736613
959.9,0.895783187,0.00074395
960.65,0.896332153,0.000745439
961.9,0.897263939,0.000745879
962.4,0.897634169,0.000740836
963.15,0.898182967,0.000734037
964.15,0.898896069,0.000724715
964.9,0.899422419,0.000707593
965.65,0.899952221,0.000692476
966.65,0.900608083,0.000674973
967.4,0.901116221,0.000656244
967.9,0.901436274,0.000634632
969.15,0.90218745,0.000615701
969.9,0.90265916,0.000596598
971.4,0.903492212,0.000578846
972.4,0.904066454,0.000563224
972.9,0.904333987,0.000545468
973.9,0.904857014,0.000530626
974.65,0.905239802,0.00051674
975.4,0.905615551,0.000506049
976.4,0.906133162,0.000496085
977.15,0.906470629,0.000489296
977.65,0.906736028,0.00048356
978.9,0.90730603,0.000479213
979.65,0.907686,0.000476517
980.65,0.908158731,0.00047567
981.15,0.908371181,0.000476828
982.15,0.908917636,0.000477742
983.15,0.909368998,0.000478241
983.65,0.909608317,0.000484386
984.65,0.910089979,0.000485303
985.4,0.910453579,0.000490752
986.15,0.910818875,0.0004945
986.9,0.911209033,0.000495293
987.9,0.911674903,0.000497941
988.65,0.912042375,0.000498332
989.15,0.912308399,0.000494908
990.4,0.912898116,0.000493792
990.9,0.913158197,0.000484718
991.4,0.913398889,0.000482596
992.65,0.913993778,0.000477913
993.4,0.914344929,0.000469728
994.15,0.914694703,0.000462448
995.15,0.915141184,0.000457238
995.9,0.915475227,0.000449223
996.65,0.91580393,0.000447689
997.65,0.916223464,0.000444657
998.4,0.916546842,0.00043868
998.9,0.916786146,0.000441471
1000.15,0.917310078,0.000443058
1000.9,0.917676277,0.000447904
1001.4,0.917905019,0.000455871
1002.65,0.918493708,0.000465858
1003.15,0.918737244,0.000479089
1003.9,0.919112781,0.00049615
1005.15,0.919685153,0.000512083
