T(K),a,da/dT
571.4,0.446115551,0.005201757
572.15,0.450134505,0.005358604
573.4,0.456531649,0.005117715
574.15,0.460320631,0.005051976
574.9,0.464067801,0.004996226
575.65,0.467660799,0.004790664
576.9,0.473743223,0.004865939
577.65,0.477333505,0.004787042
578.4,0.480881431,0.004730568
579.65,0.486620938,0.004591606
580.4,0.490155482,0.004712725
581.15,0.49348854,0.004444078
582.15,0.497999055,0.004510515
583.15,0.502547802,0.004548747
583.9,0.50578497,0.004316223
584.65,0.509086412,0.004401922
585.65,0.513460607,0.004374195
586.65,0.517807904,0.004347297
587.4,0.521053699,0.004327726
588.15,0.524607842,0.004738858
589.15,0.529047112,0.004439269
590.15,0.533884333,0.004837222
590.65,0.536342073,0.00491548
591.9,0.542641113,0.005039231
592.65,0.546560626,0.005226017
593.4,0.550621705,0.005414773
594.15,0.554862532,0.005654435
595.15,0.560872982,0.00601045
595.65,0.564059693,0.006373423
596.65,0.570831189,0.006771496
597.65,0.577214237,0.006383048
598.4,0.580537499,0.004431015
598.9,0.583719205,0.006363412
599.65,0.587739781,0.005360768
600.9,0.594397304,0.005326018
601.4,0.59591546,0.003036311
602.15,0.599151036,0.004314102
602.9,0.602077578,0.003902056
603.9,0.605507989,0.003430411
604.65,0.607940859,0.003243827
605.4,0.609778835,0.002450635
606.4,0.61207738,0.002298545
607.15,0.613907986,0.002440808
607.9,0.615421486,0.002017999
609.15,0.617703682,0.001825757
609.9,0.619097013,0.001857774
610.65,0.620411596,0.001752778
611.4,0.621698325,0.001715639
612.4,0.623386669,0.001688343
613.15,0.624642249,0.001674107
613.9,0.625891335,0.001665448
614.9,0.627556895,0.00166556
615.65,0.628809903,0.001670678
616.4,0.630064609,0.001672942
617.15,0.631320959,0.001675134
618.15,0.632998434,0.001677475
618.9,0.634258034,0.001679466
619.65,0.63551859,0.001680741
620.9,0.637620493,0.001681522
621.65,0.638881269,0.001681035
622.4,0.640140793,0.001679365
623.15,0.64139796,0.001676223
624.15,0.643067888,0.001669928
624.9,0.644312867,0.001659972
625.65,0.645519306,0.001608586
626.65,0.647140024,0.001620718
627.4,0.648310915,0.001561187
628.15,0.649487887,0.001569296
628.9,0.650643753,0.001541155
629.9,0.652159206,0.001515453
630.9,0.653655209,0.001496003
631.4,0.654406481,0.001502545
632.65,0.656247486,0.001472804
633.4,0.657332827,0.00144712
634.15,0.658416505,0.001444905
635.15,0.659842259,0.001425754
635.9,0.660919863,0.001436805
636.65,0.661984757,0.001419859
637.4,0.663046661,0.001415872
638.65,0.664799966,0.001402644
639.4,0.665858933,0.001411955
639.9,0.666582543,0.00144722
641.15,0.668357759,0.001420173
641.9,0.669426311,0.001424737
642.65,0.670497078,0.001427689
643.15,0.671236623,0.001479091
644.65,0.673331527,0.001396602
645.15,0.674070978,0.001478903
646.15,0.675467677,0.001396698
647.15,0.676880113,0.001412437
647.9,0.677930128,0.001400019
648.65,0.678970163,0.001386714
649.4,0.679998599,0.001371248
650.4,0.681349507,0.001350907
651.15,0.682346398,0.001329189
652.15,0.683637315,0.001290916
653.15,0.684948552,0.001311237
653.9,0.685893021,0.001259293
654.65,0.686817338,0.001232422
655.65,0.688049466,0.001232129
656.4,0.688964898,0.001220575
657.15,0.689875415,0.001214023
657.9,0.690783664,0.001210999
658.9,0.691995652,0.001211988
659.65,0.692908588,0.001217248
660.4,0.693827476,0.001225184
661.65,0.695362062,0.001227669
662.4,0.696302022,0.00125328
663.15,0.697274775,0.001297003
664.15,0.698568771,0.001293996
664.9,0.699529332,0.001280748
665.65,0.700531587,0.00133634
666.4,0.701584293,0.001403608
667.4,0.702941771,0.001357478
668.4,0.704365796,0.001424025
668.9,0.705128952,0.001526313
670.15,0.706939367,0.001448332
670.9,0.708032997,0.001458173
671.65,0.709183731,0.001534312
672.65,0.710742155,0.001558424
673.4,0.711926265,0.001578814
674.15,0.71312046,0.00159226
674.9,0.714350762,0.001640403
676.15,0.716306285,0.001564418
676.9,0.71753387,0.001636781
677.4,0.718349298,0.001630855
678.65,0.720312339,0.001570433
679.4,0.721495953,0.001578153
680.15,0.722664374,0.001557895
680.9,0.72382408,0.001546275
681.9,0.725343634,0.001519553
682.65,0.726465018,0.001495179
683.4,0.72754555,0.001440709
684.65,0.729375693,0.001464115
685.15,0.730084673,0.00141796
685.9,0.731094672,0.001346664
687.15,0.732842049,0.001397902
687.9,0.73384341,0.001335148
688.65,0.734826945,0.001311381
689.4,0.735792979,0.001288045
690.4,0.737054473,0.001261494
691.15,0.737981055,0.001235444
691.9,0.738891011,0.001213275
692.9,0.740145878,0.001254867
693.65,0.741022046,0.001168224
694.4,0.741810739,0.001051591
695.4,0.743008795,0.001198056
696.4,0.744029549,0.001020755
696.9,0.744489465,0.000919831
697.65,0.7452842,0.001059647
698.65,0.746402127,0.001117927
699.4,0.747243966,0.001122452
700.4,0.748146212,0.000902245
701.4,0.749173796,0.001027584
702.15,0.74985561,0.000909086
702.65,0.750147979,0.000584738
703.4,0.750793693,0.000860952
704.4,0.751612758,0.000819065
705.15,0.752194324,0.000775421
705.9,0.752747174,0.000737133
706.9,0.753392014,0.00064484
707.65,0.753963661,0.000762197
708.15,0.754192834,0.000458345
709.4,0.754914589,0.000577404
709.9,0.755206205,0.000583231
710.65,0.755562726,0.000475362
711.9,0.756154374,0.000473318
712.4,0.756368049,0.000427351
713.4,0.75677127,0.000403221
714.15,0.757065745,0.000392633
715.15,0.757433944,0.000368199
715.9,0.757718156,0.00037895
716.65,0.757992698,0.000366056
717.65,0.758345428,0.00035273
718.4,0.758645959,0.000400707
719.15,0.758938432,0.000389964
720.15,0.75934598,0.000407548
720.9,0.759641581,0.000394135
721.65,0.760032006,0.000520567
722.15,0.760208688,0.000353364
723.4,0.760855985,0.000517838
724.15,0.761284899,0.000571886
724.9,0.761665189,0.000507053
725.9,0.762245891,0.000580702
726.65,0.762739627,0.000658315
727.4,0.763178533,0.000585208
728.65,0.763974399,0.000636693
729.4,0.764498288,0.000698518
730.15,0.765113542,0.000820338
730.65,0.765446685,0.000666287
731.9,0.76636695,0.000736212
732.65,0.766992014,0.000833418
733.4,0.767594262,0.000802997
734.4,0.768385342,0.000791081
735.9,0.769687055,0.000867808
736.9,0.77049489,0.000807835
737.65,0.771188532,0.000924857
738.4,0.771815254,0.000835628
739.15,0.772461357,0.000861471
740.15,0.773315722,0.000854365
740.9,0.773983458,0.000890315
741.65,0.774624609,0.000854868
742.65,0.775489781,0.000865172
743.65,0.776352801,0.00086302
744.15,0.776783184,0.000860765
745.65,0.778068155,0.000856648
746.15,0.778493021,0.000849731
746.9,0.779127914,0.000846525
747.9,0.779977224,0.00084931
748.65,0.780595978,0.000825006
749.4,0.781218953,0.000830633
750.4,0.782063446,0.000844493
751.4,0.782874339,0.000810894
752.15,0.783485956,0.000815489
752.65,0.783892171,0.000812429
753.9,0.784903736,0.000809252
754.65,0.785486872,0.000777514
755.4,0.786112804,0.000834576
756.4,0.786915557,0.000802754
757.15,0.787514,0.000797923
757.9,0.78813749,0.000831321
759.15,0.789048322,0.000728665
759.65,0.789462154,0.000827664
760.4,0.790025337,0.000750911
761.15,0.790575677,0.000733786
762.4,0.79146068,0.000708002
763.15,0.791934866,0.000632249
763.65,0.792300797,0.000731861
764.65,0.792972481,0.000671684
765.65,0.793541306,0.000568825
766.15,0.793830735,0.000578859
767.4,0.794549485,0.000575
768.15,0.794905988,0.000475337
768.65,0.79521165,0.000611325
770.15,0.795908686,0.00046469
770.65,0.796082878,0.000348385
771.4,0.796406302,0.000431231
772.15,0.796737213,0.000441216
773.4,0.797230315,0.000394481
774.15,0.797512884,0.000376759
774.9,0.797786046,0.000364216
775.9,0.798123573,0.000337526
776.9,0.798476827,0.000353255
777.4,0.79865467,0.000355685
778.65,0.799052309,0.000318111
779.4,0.799303171,0.000334482
779.9,0.799454965,0.000303588
781.15,0.799859946,0.000323985
781.9,0.800097909,0.000317284
782.4,0.800254216,0.000312614
783.15,0.800497325,0.000324144
784.4,0.800907171,0.000327877
784.9,0.801078351,0.00034236
785.9,0.801410138,0.000331787
786.9,0.801763395,0.000353257
787.65,0.802027236,0.000351788
788.4,0.802292739,0.000354003
789.4,0.802647311,0.000354572
789.9,0.802823965,0.000353309
790.9,0.803165863,0.000341897
791.9,0.803518331,0.000352468
792.65,0.803771559,0.000337638
793.4,0.804020804,0.000332326
794.4,0.804343562,0.000322758
795.15,0.804589477,0.000327887
795.9,0.804829847,0.000320494
796.65,0.805064388,0.000312721
797.9,0.805450619,0.000308985
798.4,0.805600162,0.000299087
799.4,0.805901856,0.000301694
800.4,0.80619752,0.000295663
801.15,0.806418846,0.000295102
801.9,0.806643301,0.000299273
802.9,0.806944036,0.000300735
803.65,0.807175439,0.000308538
804.4,0.807410177,0.000312984
805.4,0.807745962,0.000335784
806.15,0.808006183,0.000346962
806.9,0.808277361,0.000361571
808.15,0.808743349,0.000372791
808.9,0.809048608,0.000407011
809.4,0.809278256,0.000459297
810.65,0.809806681,0.00042274
811.15,0.810067864,0.000522366
811.9,0.81047046,0.000536794
812.9,0.810981833,0.000511374
813.65,0.811404408,5.63E-04
814.65,0.812019297,6.15E-04
815.4,0.812475456,6.08E-04
816.4,0.813099105,6.24E-04
817.15,0.81357525,0.00063486
817.65,0.81386705,0.000583601
818.9,0.814705458,0.000670727
819.65,0.815196972,0.000655351
820.4,0.815692551,0.000660772
821.4,0.81635987,0.000667319
822.15,0.816865361,0.000673988
822.9,0.817375012,0.000679535
823.9,0.818060701,0.000685689
824.65,0.818549806,0.000652141
825.4,0.819102625,0.000737092
826.15,0.81960056,0.000663913
827.15,0.820340664,0.000740104
828.15,0.821031406,6.91E-04
828.9,0.821602729,0.000761764
829.9,0.822308169,7.05E-04
830.65,0.822862071,7.39E-04
831.4,0.823445286,7.78E-04
832.4,0.82417561,7.30E-04
833.15,0.824750048,7.66E-04
833.9,0.825332831,7.77E-04
835.15,0.826309573,7.81E-04
835.65,0.826729527,8.40E-04
836.15,0.827138152,8.17E-04
837.4,0.828175441,8.30E-04
838.15,0.828802861,8.37E-04
838.9,0.829440447,8.50E-04
839.9,0.830289189,8.49E-04
840.65,0.83092564,8.49E-04
841.4,0.831559891,8.46E-04
842.15,0.832218644,8.78E-04
843.15,0.833018227,8.00E-04
843.9,0.833628453,8.14E-04
