T(K),a,da/dT
578.4,0.532685388,0.00664446
579.4,0.538796781,0.00659824
579.9,0.542510215,0.00659404
581.15,0.550420711,0.00650497
581.65,0.55390826,0.00643627
582.4,0.558526448,0.00637796
583.15,0.563644879,0.00629067
584.4,0.571473511,0.00619320
585.15,0.57603706,0.00608102
585.9,0.58120293,0.00595543
586.9,0.587373698,0.00582467
587.4,0.590618036,0.00569680
588.4,0.597087333,0.00557284
589.15,0.601883176,0.00542355
590.15,0.607762948,0.00528120
590.9,0.612627833,0.00513838
591.4,0.615845629,0.00500939
592.65,0.622295326,0.00483405
593.4,0.625763247,0.00469048
594.15,0.629246779,0.00453105
594.9,0.632645402,0.00440095
596.15,0.63728801,0.00424400
596.9,0.639905943,0.00410137
597.4,0.641447401,0.00396244
598.4,0.644641454,0.00379671
599.15,0.646737375,0.00366231
599.9,0.648810436,0.00351669
600.65,0.650851506,0.00337105
601.65,0.653324029,0.00322630
602.4,0.655149915,0.00308647
603.15,0.656928008,0.00292989
604.4,0.659855193,0.00277157
604.9,0.660937758,0.00265576
605.65,0.662701296,0.00255719
606.4,0.664489781,0.00245387
607.65,0.667331196,0.00235731
608.15,0.66839457,0.00228566
609.15,0.67045029,0.00221849
610.15,0.672531902,0.00216733
610.9,0.674236712,0.00211048
611.65,0.675936102,0.00206532
612.65,0.678181816,0.00201929
613.65,0.680378556,0.00197388
614.15,0.681290868,0.00193590
615.15,0.683236604,0.00189749
616.15,0.68508094,0.00186113
616.9,0.686431852,0.00182433
617.65,0.687755776,0.00179307
618.4,0.688992253,0.00175414
619.65,0.691156264,0.00171505
620.4,0.692383318,0.00167840
621.15,0.693540462,0.00164523
621.9,0.694739856,0.00161639
622.9,0.696285167,0.00158556
623.65,0.697398902,0.00154676
624.65,0.698828178,0.00150965
625.4,0.699881557,0.00147442
626.15,0.700909874,0.00143915
626.9,0.701900377,0.00141831
628.15,0.703545911,0.00139436
628.9,0.70450171,0.00137365
629.4,0.705131041,0.00135454
630.65,0.706658904,0.00133807
631.4,0.707597178,0.00132580
632.15,0.708505026,0.00131110
632.9,0.70937859,0.00130081
633.9,0.71059806,0.00129289
634.65,0.711488633,0.00128391
635.4,0.712349557,0.00127949
636.4,0.713539046,0.00127419
637.4,0.714763157,0.00126855
638.15,0.715643576,0.00126981
638.9,0.716558939,0.00126916
639.9,0.71780993,0.00126781
640.4,0.71843179,0.00126899
641.4,0.719678784,0.00127330
642.4,0.720966639,0.00127656
643.15,0.721936041,0.00127990
643.9,0.722914927,0.00128572
644.65,0.723917974,0.00129158
645.65,0.725231414,0.00129768
646.4,0.726235302,0.00130636
647.15,0.727298215,0.00131488
648.4,0.728962412,0.00132416
649.15,0.729911759,0.00133441
649.9,0.730992369,0.00134801
651.15,0.732682859,0.00135957
651.65,0.733323622,0.00137022
652.4,0.73433649,0.00138370
653.15,0.735386039,0.00139682
654.15,0.736739248,0.00140989
655.15,0.738058555,0.00142368
655.9,0.739123368,0.00143705
656.9,0.740503828,0.00145044
657.65,0.741509991,0.00146374
658.4,0.742613327,0.00147650
659.15,0.743689397,0.00148875
660.15,0.745106267,0.00150017
660.9,0.746221262,0.00151044
661.65,0.747435135,0.00152397
662.9,0.749321692,0.00153073
663.65,0.75046877,0.00153772
664.4,0.751700223,0.00155030
665.4,0.753324229,0.00155625
666.15,0.754543788,0.00156438
666.9,0.755809647,0.00156415
667.65,0.757069921,0.00157078
668.9,0.759186457,0.00157337
669.4,0.760048111,0.00157398
670.15,0.761310652,0.00157681
671.65,0.76385128,0.00157468
672.15,0.764725481,0.00157335
672.9,0.765947491,0.00157156
673.65,0.767190997,0.00156814
674.65,0.76882792,0.00155978
675.4,0.769994193,0.00155456
676.15,0.771229061,0.00154872
677.4,0.773132654,0.00153895
678.15,0.774358984,0.00152981
678.65,0.775032243,0.00152065
679.9,0.776921723,0.00150949
680.65,0.77804288,0.00149868
681.4,0.779091479,0.00148749
682.15,0.780159223,0.00147528
683.15,0.781568775,0.00146436
684.15,0.782964853,0.00145315
684.65,0.78364734,0.00143991
685.9,0.785381671,0.00143067
686.65,0.786413637,0.00142061
687.4,0.787432057,0.00141070
688.4,0.788792237,0.00140378
689.15,0.78981109,0.00139430
689.9,0.79083027,0.00138777
690.65,0.791850724,0.00137807
691.9,0.79355591,0.00137853
692.4,0.794239273,0.00137467
693.4,0.795608033,0.00137085
694.4,0.796977249,0.00136914
694.9,0.797660597,0.00136881
695.9,0.799029262,0.00136973
696.9,0.800393848,0.00137279
697.65,0.801414965,0.00137579
698.4,0.802439588,0.00137969
699.15,0.803451625,0.00138462
700.15,0.804806016,0.00139069
700.9,0.805834706,0.00139707
701.65,0.806834772,0.00140376
702.9,0.808527318,0.00141049
703.65,0.809547174,0.00141728
704.4,0.810596817,0.00142346
705.65,0.812327082,0.00142943
706.15,0.813001287,0.00143498
706.9,0.814062008,0.00144018
707.9,0.815498091,0.00144513
708.9,0.816983033,0.00144938
709.65,0.818071938,0.00145486
710.4,0.819197387,0.00145930
711.4,0.820716234,0.00146439
712.15,0.821866764,0.00147032
713.15,0.823411849,0.00147709
714.15,0.824964439,0.00148325
714.9,0.826129991,0.00149206
715.65,0.827298047,0.00150109
716.4,0.828455691,0.00151200
717.4,0.829995564,0.00151994
718.15,0.831142744,0.00153126
718.9,0.832282862,0.00154607
719.9,0.833793004,0.00155836
720.9,0.835285015,0.00156906
721.65,0.836427609,0.00158035
722.65,0.837917684,0.00159455
723.4,0.839053143,0.00160642
724.15,0.840194099,0.00161796
725.15,0.841744941,0.00162838
725.9,0.842907598,0.00164028
726.65,0.8440993,0.00165005
727.4,0.845311215,0.00166064
728.65,0.847406235,0.00167154
729.15,0.848221151,0.00168173
730.15,0.849933627,0.00169124
731.15,0.851711624,0.00170125
731.9,0.853039647,0.00171069
732.65,0.854349465,0.00171979
733.65,0.85616178,0.00172858
734.65,0.858025332,0.00173644
735.15,0.858947826,0.00174412
735.9,0.860337947,0.00175013
736.9,0.862174165,0.00175504
737.9,0.864064234,0.00175671
738.65,0.865441123,0.00176023
739.65,0.86730247,0.00175852
740.4,0.868707618,0.00175707
741.15,0.870086909,0.00175433
742.15,0.871902433,0.00174808
742.9,0.873267463,0.00174097
743.65,0.874612831,0.00173101
744.4,0.875943373,0.00172042
745.4,0.877690399,0.00170966
746.4,0.879441791,0.00169585
747.15,0.880726228,0.00167951
748.15,0.882414592,0.00166271
748.9,0.883662275,0.00164831
749.65,0.884861793,0.00162924
750.65,0.886514107,0.00160332
751.4,0.887668621,0.00158182
752.15,0.888848879,0.00155939
753.4,0.890844817,0.00153028
754.15,0.891931276,0.00150384
754.9,0.893060961,0.00147713
755.4,0.893805502,0.00144856
756.65,0.89563507,0.00142090
757.4,0.896710698,0.00139115
758.15,0.897769755,0.00136095
758.9,0.89881193,0.00133007
760.15,0.900509109,0.00129983
760.9,0.90158608,0.00126997
761.9,0.902869339,0.00124076
762.65,0.903723132,0.00121267
763.4,0.904632241,0.00118350
764.65,0.906145992,0.00115700
765.4,0.906917887,0.00113014
766.15,0.907722298,0.00110252
766.65,0.90824273,0.00108011
768.15,0.909729975,0.00105587
768.65,0.910225821,0.00103146
769.4,0.910909317,0.00100989
770.65,0.911998368,0.00098896
771.4,0.912640121,0.00096786
772.15,0.913266822,0.00095017
773.15,0.914089523,0.00093340
774.15,0.914905883,0.00091429
774.65,0.915298183,0.00090092
775.9,0.916306284,0.00089299
776.4,0.916691706,0.00088279
777.15,0.917287724,0.00087327
777.9,0.917884672,0.00086922
778.9,0.9186833,0.00086399
779.9,0.919486577,0.00086008
780.65,0.920072507,0.00085706
781.65,0.920910539,0.00085393
782.4,0.921530971,0.00085556
783.15,0.922131143,0.00085511
784.4,0.923226837,0.00085555
785.15,0.923880333,0.00085447
785.65,0.924321289,0.00085773
786.9,0.925440476,0.00085592
787.65,0.92612193,0.00085656
788.4,0.926809196,0.00085563
789.4,0.927743908,0.00085509
790.4,0.928655911,0.00085313
790.9,0.929116241,0.00085232
791.9,0.930043868,0.00084896
792.9,0.930947749,0.00084373
793.65,0.931623319,0.00084116
794.4,0.932342456,0.00083513
795.4,0.933200466,0.00083022
796.15,0.933851918,0.00082635
796.9,0.934455124,0.00082045
797.9,0.935372322,0.00081468
798.65,0.935945278,0.00080926
799.4,0.936547545,0.00080398
800.65,0.937521854,0.00079897
801.4,0.938088206,0.00079424
802.15,0.938641586,0.00078948
802.9,0.939221,0.00078455
803.9,0.939922178,0.00078201
804.65,0.940410854,0.00077846
